City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mar Del Plata,AR,2/10/2022 15:43,-38,-57.56,53.6,62,75,13.87
1,Cape Town,ZA,2/10/2022 15:47,-33.93,18.42,64,51,75,12.75
2,Mendi,PG,2/10/2022 15:47,-6.18,143.65,52.79,99,92,2.71
3,Port Alfred,ZA,2/10/2022 15:47,-33.59,26.89,65.21,84,100,22.01
4,Punta Arenas,CL,2/10/2022 15:47,-53.15,-70.92,51.8,50,20,38.03
5,Kieta,PG,2/10/2022 15:47,-6.22,155.63,79.74,77,100,2.48
6,Mercedes,AR,2/10/2022 15:47,-34.65,-59.43,63,53,2,5.01
7,Caravelas,BR,2/10/2022 15:47,-17.71,-39.25,84.13,64,85,13.98
8,East London,ZA,2/10/2022 15:47,-33.02,27.91,68,94,75,8.05
9,Taoudenni,ML,2/10/2022 15:47,22.68,-3.98,96.17,10,0,12.37
10,Busselton,AU,2/10/2022 15:44,-33.65,115.33,64,35,0,14.32
11,Tuktoyaktuk,CA,2/10/2022 15:47,69.45,-133.04,12.2,85,75,5.82
12,Bluff,NZ,2/10/2022 15:47,-46.6,168.33,52,92,79,4
13,Finschhafen,PG,2/10/2022 15:47,-6.6,147.87,79.81,76,34,2.77
14,Hermanus,ZA,2/10/2022 15:47,-34.42,19.23,57,67,81,8.99
15,Rikitea,PF,2/10/2022 15:47,-23.12,-134.97,74.43,71,100,8.7
16,Camacha,PT,2/10/2022 15:47,33.08,-16.33,71.6,68,40,12.75
17,Saint-Philippe,RE,2/10/2022 15:42,-21.36,55.77,71.6,68,75,16.11
18,Albany,US,2/10/2022 15:44,42.6,-73.97,46,90,100,1.57
19,Gharghoda,IN,2/10/2022 15:47,22.17,83.35,69.42,53,0,3.87
20,Hofn,IS,2/10/2022 15:47,64.25,-15.21,46.4,87,90,26.4
21,Georgetown,MY,2/10/2022 15:42,5.41,100.34,80.6,88,20,5.01
22,Sitka,US,2/10/2022 15:47,57.05,-135.33,41,86,90,6.93
23,Mataura,NZ,2/10/2022 15:47,-46.19,168.86,52,92,75,4
24,Bambanglipuro,ID,2/10/2022 15:47,-7.95,110.28,78.48,87,66,3.22
25,Ushuaia,AR,2/10/2022 15:47,-54.8,-68.3,46.4,81,75,29.97
26,Yeppoon,AU,2/10/2022 15:45,-23.13,150.73,64.4,77,75,3.85
